player_id,team_id,start_season,end_season
1630173,1610612748,2020,2020
1630173,1610612752,2023,2024
1630173,1610612761,2021,2023
203500,1610612740,2020,2020
203500,1610612745,2024,2024
203500,1610612760,2019,2019
203500,1610612763,2021,2022
1628389,1610612748,2020,2024
1630534,1610612761,2023,2024
1630534,1610612762,2022,2023
1630583,1610612763,2021,2024
1641725,1610612743,2024,2024
1629638,1610612740,2020,2021
1629638,1610612750,2022,2024
1629638,1610612762,2021,2022
1628960,1610612749,2021,2022
1628960,1610612756,2023,2024
1628960,1610612763,2020,2020
1628386,1610612739,2020,2024
1628386,1610612751,2020,2020
1630631,1610612740,2021,2024
203937,1610612744,2024,2024
203937,1610612748,2024,2024
203937,1610612750,2022,2023
203937,1610612763,2020,2021
203507,1610612749,2020,2024
1630175,1610612753,2020,2024
1628384,1610612752,2023,2024
1628384,1610612761,2020,2023
1630166,1610612757,2024,2024
1630166,1610612764,2020,2023
1629028,1610612756,2020,2022
1629028,1610612757,2023,2024
1630542,1610612755,2024,2024
1628963,1610612758,2020,2021
1628963,1610612763,2024,2024
1628963,1610612764,2023,2024
1628963,1610612765,2021,2023
1631116,1610612744,2022,2022
1631116,1610612746,2024,2024
1631116,1610612764,2023,2024
1630163,1610612766,2020,2024
1628366,1610612740,2019,2020
1628366,1610612741,2021,2024
1628366,1610612747,2018,2018
1628964,1610612740,2024,2024
1628964,1610612746,2024,2024
1628964,1610612747,2022,2022
1628964,1610612753,2020,2022
1628964,1610612755,2023,2023
1631094,1610612753,2022,2024
1630217,1610612763,2020,2024
1630625,1610612738,2023,2023
1630625,1610612757,2023,2024
1630625,1610612761,2021,2022
1631230,1610612737,2024,2024
1631230,1610612759,2022,2023
203084,1610612758,2020,2023
203084,1610612759,2024,2024
1630567,1610612761,2021,2024
1629628,1610612752,2020,2023
1629628,1610612761,2023,2024
1629646,1610612755,2021,2021
1629646,1610612759,2022,2024
1641734,1610612739,2023,2024
1642419,1610612761,2024,2024
201587,1610612746,2020,2024
201587,1610612755,2023,2023
1641878,1610612766,2024,2024
