GAME_ID,SEASON_ID,GAME_DATE,home_team_id,away_team_id,home_score,away_score
22401193,2025,2025-04-13,1610612745,1610612743,111,126
22401200,2025,2025-04-13,1610612758,1610612756,109,98
22401196,2025,2025-04-13,1610612740,1610612760,100,115
22401194,2025,2025-04-13,1610612763,1610612742,132,97
22401197,2025,2025-04-13,1610612759,1610612761,125,118
22401195,2025,2025-04-13,1610612750,1610612762,116,105
22401186,2025,2025-04-13,1610612737,1610612753,117,105
22401191,2025,2025-04-13,1610612755,1610612741,102,122
22401198,2025,2025-04-13,1610612744,1610612746,119,124
22401192,2025,2025-04-13,1610612749,1610612765,140,133
22401189,2025,2025-04-13,1610612739,1610612754,118,126
22401187,2025,2025-04-13,1610612738,1610612766,93,86
22401190,2025,2025-04-13,1610612748,1610612764,118,119
22401199,2025,2025-04-13,1610612757,1610612747,109,81
22401188,2025,2025-04-13,1610612751,1610612752,105,113
22401172,2025,2025-04-11,1610612754,1610612753,115,129
22401184,2025,2025-04-11,1610612758,1610612746,100,101
22401179,2025,2025-04-11,1610612750,1610612751,117,91
22401171,2025,2025-04-11,1610612765,1610612749,119,125
22401182,2025,2025-04-11,1610612756,1610612759,117,98
22401175,2025,2025-04-11,1610612752,1610612739,102,108
22401183,2025,2025-04-11,1610612757,1610612744,86,103
22401178,2025,2025-04-11,1610612742,1610612761,124,102
22401185,2025,2025-04-11,1610612747,1610612745,140,109
22401176,2025,2025-04-11,1610612741,1610612764,119,89
22401174,2025,2025-04-11,1610612738,1610612766,130,94
22401177,2025,2025-04-11,1610612740,1610612748,104,153
22401180,2025,2025-04-11,1610612743,1610612763,117,109
22401181,2025,2025-04-11,1610612762,1610612760,111,145
22401173,2025,2025-04-11,1610612755,1610612737,110,124
22401167,2025,2025-04-10,1610612765,1610612752,115,106
22401168,2025,2025-04-10,1610612754,1610612739,114,112
22401161,2025,2025-04-10,1610612749,1610612740,136,111
22401170,2025,2025-04-10,1610612763,1610612750,125,141
22401169,2025,2025-04-10,1610612751,1610612737,109,133
22401159,2025,2025-04-09,1610612742,1610612747,97,112
22401157,2025,2025-04-09,1610612764,1610612755,103,122
22401160,2025,2025-04-09,1610612741,1610612748,119,111
22401162,2025,2025-04-09,1610612762,1610612757,133,126
22401164,2025,2025-04-09,1610612756,1610612760,112,125
22401158,2025,2025-04-09,1610612761,1610612766,126,96
22401156,2025,2025-04-09,1610612753,1610612738,96,76
22401166,2025,2025-04-09,1610612746,1610612745,134,117
22401163,2025,2025-04-09,1610612744,1610612759,111,114
22401165,2025,2025-04-09,1610612758,1610612743,116,124
22401146,2025,2025-04-08,1610612766,1610612763,100,124
22401149,2025,2025-04-08,1610612753,1610612737,119,112
22401147,2025,2025-04-08,1610612739,1610612741,135,113
22401150,2025,2025-04-08,1610612751,1610612740,119,114
22401151,2025,2025-04-08,1610612752,1610612738,117,119
22401155,2025,2025-04-08,1610612746,1610612759,122,117
22401154,2025,2025-04-08,1610612756,1610612744,95,133
22401148,2025,2025-04-08,1610612754,1610612764,104,98
22401152,2025,2025-04-08,1610612749,1610612750,110,103
22401153,2025,2025-04-08,1610612760,1610612747,136,120
22401144,2025,2025-04-07,1610612765,1610612758,117,127
22401145,2025,2025-04-07,1610612748,1610612755,117,105
22401143,2025,2025-04-06,1610612744,1610612745,96,106
22400617,2025,2025-04-06,1610612740,1610612749,107,111
22401136,2025,2025-04-06,1610612737,1610612762,147,134
22401135,2025,2025-04-06,1610612760,1610612747,99,126
22401133,2025,2025-04-06,1610612766,1610612741,117,131
22401140,2025,2025-04-06,1610612752,1610612756,112,98
22401134,2025,2025-04-06,1610612751,1610612761,109,120
22401137,2025,2025-04-06,1610612738,1610612764,124,90
22401139,2025,2025-04-06,1610612757,1610612759,120,109
22401142,2025,2025-04-06,1610612743,1610612754,120,125
22401138,2025,2025-04-06,1610612739,1610612758,113,120
22401131,2025,2025-04-05,1610612748,1610612749,115,121
22401128,2025,2025-04-05,1610612737,1610612752,105,121
22401129,2025,2025-04-05,1610612765,1610612763,103,109
22401130,2025,2025-04-05,1610612755,1610612750,109,114
22401132,2025,2025-04-05,1610612746,1610612742,135,104
22401126,2025,2025-04-04,1610612747,1610612740,124,108
22401127,2025,2025-04-04,1610612746,1610612742,114,91
22401119,2025,2025-04-04,1610612754,1610612762,140,112
22401121,2025,2025-04-04,1610612761,1610612765,105,117
22401124,2025,2025-04-04,1610612759,1610612739,113,114
22401122,2025,2025-04-04,1610612741,1610612757,118,113
22401123,2025,2025-04-04,1610612745,1610612760,125,111
22401118,2025,2025-04-04,1610612766,1610612758,102,125
22401120,2025,2025-04-04,1610612738,1610612756,123,103
22401125,2025,2025-04-04,1610612744,1610612743,118,104
22401113,2025,2025-04-03,1610612751,1610612750,90,105
22401112,2025,2025-04-03,1610612764,1610612753,97,109
22401117,2025,2025-04-03,1610612747,1610612744,116,123
22401115,2025,2025-04-03,1610612755,1610612749,113,126
22401116,2025,2025-04-03,1610612761,1610612757,103,112
22401114,2025,2025-04-03,1610612748,1610612763,108,110
22401111,2025,2025-04-02,1610612746,1610612740,114,98
22401108,2025,2025-04-02,1610612760,1610612765,119,103
22401110,2025,2025-04-02,1610612743,1610612759,106,113
22401106,2025,2025-04-02,1610612738,1610612748,103,124
